Filename,Original Width,Original Height,New Width,New Height,Average Gray Intensity,Gray Standard Deviation,Gaussian Sigma,Canny Lower Threshold,Canny Upper Threshold
Pedestrian_Crossing_1.png,34,32,64,64,110.5879,44.1157,1.0,50,150
Pedestrian_Crossing_10.png,34,33,64,64,31.7976,16.8455,1.0,50,150
Pedestrian_Crossing_11.png,48,41,64,64,120.2161,67.6118,1.0,50,150
Pedestrian_Crossing_12.png,39,35,64,64,104.885,45.473,1.0,50,150
Pedestrian_Crossing_13.png,84,80,64,64,81.3359,52.4161,1.0,50,150
Pedestrian_Crossing_2.png,181,165,64,64,101.9321,86.9685,1.0,50,150
Pedestrian_Crossing_3.png,48,49,64,64,78.1672,31.7478,1.0,50,150
Pedestrian_Crossing_4.png,34,33,64,64,31.8972,17.3245,1.0,50,150
Pedestrian_Crossing_5.png,157,143,64,64,66.1685,59.0751,1.0,50,150
Pedestrian_Crossing_6.png,40,38,64,64,96.9688,46.6519,1.0,50,150
Pedestrian_Crossing_7.png,167,148,64,64,63.0823,59.0799,1.0,50,150
Pedestrian_Crossing_8.png,44,46,64,64,75.5562,36.7179,1.0,50,150
Pedestrian_Crossing_9.png,60,60,64,64,92.0901,37.1084,1.0,50,150
Slippery_Road_1.png,137,128,64,64,131.6353,65.5341,1.0,50,150
Slippery_Road_10.png,83,73,64,64,40.1387,20.5519,1.0,50,150
Slippery_Road_11.png,116,104,64,64,81.4292,59.0381,1.0,50,150
Slippery_Road_12.png,220,194,64,64,154.3857,105.9343,1.0,50,150
Slippery_Road_13.png,79,75,64,64,13.8086,7.0714,1.0,50,150
Slippery_Road_14.png,146,129,64,64,205.6006,67.4893,1.0,50,150
Slippery_Road_2.png,226,213,64,64,128.2041,83.3169,1.0,50,150
Slippery_Road_3.png,192,157,64,64,81.4114,61.7025,1.0,50,150
Slippery_Road_4.png,83,76,64,64,74.0972,42.2576,1.0,50,150
Slippery_Road_5.png,92,84,64,64,64.7285,27.3116,1.0,50,150
Slippery_Road_6.png,160,145,64,64,125.4233,70.8429,1.0,50,150
Slippery_Road_7.png,47,44,64,64,15.7493,17.8035,1.0,50,150
Slippery_Road_8.png,177,160,64,64,61.7825,49.0607,1.0,50,150
Slippery_Road_9.png,58,52,64,64,143.1951,73.3375,1.0,50,150
Speed_Limit_60_1.png,39,40,64,64,97.292,33.1871,1.0,50,150
Speed_Limit_60_10.png,110,113,64,64,67.2981,61.1778,1.0,50,150
Speed_Limit_60_11.png,32,32,64,64,31.6084,13.8243,1.0,50,150
Speed_Limit_60_12.png,48,49,64,64,117.2876,72.1155,1.0,50,150
Speed_Limit_60_13.png,117,121,64,64,75.5757,65.7315,1.0,50,150
Speed_Limit_60_2.png,36,37,64,64,10.9724,2.1455,1.0,50,150
Speed_Limit_60_3.png,46,47,64,64,19.6558,21.1212,1.0,50,150
Speed_Limit_60_4.png,32,31,64,64,30.1963,23.4191,1.0,50,150
Speed_Limit_60_5.png,92,98,64,64,47.9204,34.2702,1.0,50,150
Speed_Limit_60_6.png,34,34,64,64,24.4993,11.1327,1.0,50,150
Speed_Limit_60_7.png,37,37,64,64,108.7639,102.8426,1.0,50,150
Speed_Limit_60_8.png,122,123,64,64,138.0764,103.2741,1.0,50,150
Speed_Limit_60_9.png,61,60,64,64,23.8992,10.2284,1.0,50,150
Stop_1.png,172,171,64,64,139.679,71.5832,1.0,50,150
Stop_10.png,158,161,64,64,79.7402,46.0081,1.0,50,150
Stop_11.png,44,44,64,64,20.6318,8.6357,1.0,50,150
Stop_12.png,33,33,64,64,54.7563,27.4463,1.0,50,150
Stop_2.png,193,191,64,64,115.4722,59.0212,1.0,50,150
Stop_3.png,40,39,64,64,216.25,49.5673,1.0,50,150
Stop_4.png,77,76,64,64,63.0237,21.282,1.0,50,150
Stop_5.png,76,80,64,64,117.1384,80.2071,1.0,50,150
Stop_6.png,176,169,64,64,147.2175,79.8866,1.0,50,150
Stop_7.png,119,134,64,64,129.887,79.7545,1.0,50,150
Stop_8.png,144,141,64,64,183.2188,76.5111,1.0,50,150
Stop_9.png,216,211,64,64,143.0212,69.0467,1.0,50,150
Wild_Animals_Crossing_1.png,155,143,64,64,51.8538,33.7404,1.0,50,150
Wild_Animals_Crossing_10.png,108,102,64,64,165.4265,91.0513,1.0,50,150
Wild_Animals_Crossing_11.png,164,148,64,64,125.9316,77.6173,1.0,50,150
Wild_Animals_Crossing_12.png,95,87,64,64,8.6077,3.4716,1.0,50,150
Wild_Animals_Crossing_13.png,156,134,64,64,81.9341,40.6108,1.0,50,150
Wild_Animals_Crossing_2.png,86,80,64,64,76.4863,32.7879,1.0,50,150
Wild_Animals_Crossing_3.png,53,52,64,64,15.7087,11.4669,1.0,50,150
Wild_Animals_Crossing_4.png,112,93,64,64,40.387,34.097,1.0,50,150
Wild_Animals_Crossing_5.png,49,46,64,64,22.6838,8.0315,1.0,50,150
Wild_Animals_Crossing_6.png,58,55,64,64,80.3552,55.693,1.0,50,150
Wild_Animals_Crossing_7.png,35,32,64,64,125.9951,29.8029,1.0,50,150
Wild_Animals_Crossing_8.png,88,84,64,64,71.4277,12.8886,1.0,50,150
Wild_Animals_Crossing_9.png,38,38,64,64,117.4187,17.7781,1.0,50,150
